"symbol","uniprot","ensembl","entrez","name","geneset"
"HSPA8","P11142","ENSG00000109971",3312,"Heat shock cognate 71 kDa protein","MetaMiner: Mechanisms of CFTR activation by S-nitroglutathione, normal and CF (“Nitro”)"
"HSPA1L","P34931","ENSG00000236251",3305,"Heat shock 70 kDa protein 1-like","MetaMiner: Mechanisms of CFTR activation by S-nitroglutathione, normal and CF (“Nitro”)"
"HSPA14","Q0VDF9","ENSG00000187522",51182,"Heat shock 70 kDa protein 14","MetaMiner: Mechanisms of CFTR activation by S-nitroglutathione, normal and CF (“Nitro”)"
"HSPA1A","P0DMV8","ENSG00000237724",3303,"Heat shock 70 kDa protein 1A","MetaMiner: Mechanisms of CFTR activation by S-nitroglutathione, normal and CF (“Nitro”)"
"HSPA1B","P0DMV9","ENSG00000232804",3304,"Heat shock 70 kDa protein 1B","MetaMiner: Mechanisms of CFTR activation by S-nitroglutathione, normal and CF (“Nitro”)"
"HSPA2","P54652","ENSG00000126803",3306,"Heat shock-related 70 kDa protein 2","MetaMiner: Mechanisms of CFTR activation by S-nitroglutathione, normal and CF (“Nitro”)"
"HSPA4","P34932","ENSG00000170606",3308,"Heat shock 70 kDa protein 4","MetaMiner: Mechanisms of CFTR activation by S-nitroglutathione, normal and CF (“Nitro”)"
"HSPA5","P11021","ENSG00000044574",3309,"Endoplasmic reticulum chaperone BiP","MetaMiner: Mechanisms of CFTR activation by S-nitroglutathione, normal and CF (“Nitro”)"
"HSPA6","P17066","ENSG00000173110",3310,"Heat shock 70 kDa protein 6","MetaMiner: Mechanisms of CFTR activation by S-nitroglutathione, normal and CF (“Nitro”)"
NA,NA,NA,NA,NA,"MetaMiner: Mechanisms of CFTR activation by S-nitroglutathione, normal and CF (“Nitro”)"
"HSPA9","P38646","ENSG00000113013",3313,"Stress-70 protein, mitochondrial","MetaMiner: Mechanisms of CFTR activation by S-nitroglutathione, normal and CF (“Nitro”)"
"TRAP1","Q12931","ENSG00000126602",10131,"Heat shock protein 75 kDa, mitochondrial","MetaMiner: Mechanisms of CFTR activation by S-nitroglutathione, normal and CF (“Nitro”)"
"HSP90AA1","P07900","ENSG00000080824",3320,"Heat shock protein HSP 90-alpha","MetaMiner: Mechanisms of CFTR activation by S-nitroglutathione, normal and CF (“Nitro”)"
"HSP90AB1","P08238","ENSG00000096384",3326,"Heat shock protein HSP 90-beta","MetaMiner: Mechanisms of CFTR activation by S-nitroglutathione, normal and CF (“Nitro”)"
"HSP90B1","P14625","ENSG00000166598",7184,"Endoplasmin","MetaMiner: Mechanisms of CFTR activation by S-nitroglutathione, normal and CF (“Nitro”)"
"CXCL8","P10145","ENSG00000169429",3576,"Interleukin-8","MetaMiner: Mechanisms of CFTR activation by S-nitroglutathione, normal and CF (“Nitro”)"
"SOD1","P00441","ENSG00000142168",6647,"Superoxide dismutase [Cu-Zn]","MetaMiner: Mechanisms of CFTR activation by S-nitroglutathione, normal and CF (“Nitro”)"
"SP1","P08047","ENSG00000185591",6667,"Transcription factor Sp1","MetaMiner: Mechanisms of CFTR activation by S-nitroglutathione, normal and CF (“Nitro”)"
"SP3","Q02447","ENSG00000172845",6670,"Transcription factor Sp3","MetaMiner: Mechanisms of CFTR activation by S-nitroglutathione, normal and CF (“Nitro”)"
"STIP1","P31948","ENSG00000168439",10963,"Stress-induced-phosphoprotein 1","MetaMiner: Mechanisms of CFTR activation by S-nitroglutathione, normal and CF (“Nitro”)"
"TXNRD1","Q16881","ENSG00000198431",7296,"Thioredoxin reductase 1, cytoplasmic","MetaMiner: Mechanisms of CFTR activation by S-nitroglutathione, normal and CF (“Nitro”)"
"TXNRD2","Q9NNW7","ENSG00000184470",10587,"Thioredoxin reductase 2, mitochondrial","MetaMiner: Mechanisms of CFTR activation by S-nitroglutathione, normal and CF (“Nitro”)"
"TXNRD3","Q86VQ6","ENSG00000197763",114112,"Thioredoxin reductase 3","MetaMiner: Mechanisms of CFTR activation by S-nitroglutathione, normal and CF (“Nitro”)"
"NOS3","P29474","ENSG00000164867",4846,"Nitric oxide synthase, endothelial","MetaMiner: Mechanisms of CFTR activation by S-nitroglutathione, normal and CF (“Nitro”)"
"NOS2","P35228","ENSG00000007171",4843,"Nitric oxide synthase, inducible","MetaMiner: Mechanisms of CFTR activation by S-nitroglutathione, normal and CF (“Nitro”)"
"NOS1","P29475","ENSG00000089250",4842,"Nitric oxide synthase, brain","MetaMiner: Mechanisms of CFTR activation by S-nitroglutathione, normal and CF (“Nitro”)"
"PSMA1","P25786","ENSG00000129084",5682,"Proteasome subunit alpha type-1","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"PSMA2","P25787","ENSG00000106588",5683,"Proteasome subunit alpha type-2","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"PSMA3","P25788","ENSG00000100567",5684,"Proteasome subunit alpha type-3","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"PSMA4","P25789","ENSG00000041357",5685,"Proteasome subunit alpha type-4","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"PSMA5","P28066","ENSG00000143106",5686,"Proteasome subunit alpha type-5","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"PSMA6","P60900","ENSG00000100902",5687,"Proteasome subunit alpha type-6","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"PSMA7","O14818","ENSG00000101182",5688,"Proteasome subunit alpha type-7","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"PSMA8","Q8TAA3","ENSG00000154611",143471,"Proteasome subunit alpha-type 8","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"PSMB1","P20618","ENSG00000008018",5689,"Proteasome subunit beta type-1","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"PSMB2","P49721","ENSG00000126067",5690,"Proteasome subunit beta type-2","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"PSMB3","P49720","ENSG00000275903",5691,"Proteasome subunit beta type-3","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"PSMB4","P28070","ENSG00000159377",5692,"Proteasome subunit beta type-4","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"PSMB5","P28074","ENSG00000100804",5693,"Proteasome subunit beta type-5","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"PSMB6","P28072","ENSG00000142507",5694,"Proteasome subunit beta type-6","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"PSMB7","Q99436","ENSG00000136930",5695,"Proteasome subunit beta type-7","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"AMFR","Q9UKV5","ENSG00000159461",267,"E3 ubiquitin-protein ligase AMFR","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"AHSA1","O95433","ENSG00000100591",10598,"Activator of 90 kDa heat shock protein ATPase homolog 1","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"CRYAA2","A0A140G945","ENSG00000276076",102724652,"Alpha-crystallin A2 chain","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"CRYAA","P02489","ENSG00000160202",1409,"Alpha-crystallin A chain","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"BAG2","O95816","ENSG00000112208",9532,"BAG family molecular chaperone regulator 2","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"CFTR","P13569","ENSG00000001626",1080,"Cystic fibrosis transmembrane conductance regulator","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"STUB1","Q9UNE7","ENSG00000103266",10273,"E3 ubiquitin-protein ligase CHIP","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"DNAJC5","Q9H3Z4","ENSG00000101152",80331,"DnaJ homolog subfamily C member 5","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"DNAJB12","Q9NXW2","ENSG00000148719",54788,"DnaJ homolog subfamily B member 12","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"DERL1","Q9BUN8","ENSG00000136986",79139,"Derlin-1","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"DYNC1H1","Q14204","ENSG00000197102",1778,"Cytoplasmic dynein 1 heavy chain 1","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"DYNC1I1","O14576","ENSG00000158560",1780,"Cytoplasmic dynein 1 intermediate chain 1","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"DYNC1I2","Q13409","ENSG00000077380",1781,"Cytoplasmic dynein 1 intermediate chain 2","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"DYNC1LI1","Q9Y6G9","ENSG00000144635",51143,"Cytoplasmic dynein 1 light intermediate chain 1","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"DYNC1LI2","O43237","ENSG00000135720",1783,"Cytoplasmic dynein 1 light intermediate chain 2","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"DYNLL1","P63167","ENSG00000088986",8655,"Dynein light chain 1, cytoplasmic","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"DYNLL2","Q96FJ2","ENSG00000264364",140735,"Dynein light chain 2, cytoplasmic","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"DYNLT1","P63172","ENSG00000146425",6993,"Dynein light chain Tctex-type 1","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"DYNLT3","P51808","ENSG00000165169",6990,"Dynein light chain Tctex-type 3","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"DYNLRB1","Q9NP97","ENSG00000125971",83658,"Dynein light chain roadblock-type 1","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"DYNLRB2","Q8TF09","ENSG00000168589",83657,"Dynein light chain roadblock-type 2","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"UBE2I","P63279","ENSG00000103275",7329,"SUMO-conjugating enzyme UBC9","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"HDAC6","Q9UBN7","ENSG00000094631",10013,"Histone deacetylase 6","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"HSPA8","P11142","ENSG00000109971",3312,"Heat shock cognate 71 kDa protein","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"HSPH1","Q92598","ENSG00000120694",10808,"Heat shock protein 105 kDa","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"HSPB1","P04792","ENSG00000106211",3315,"Heat shock protein beta-1","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"HSPA1L","P34931","ENSG00000236251",3305,"Heat shock 70 kDa protein 1-like","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"HSPA14","Q0VDF9","ENSG00000187522",51182,"Heat shock 70 kDa protein 14","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"HSPA1A","P0DMV8","ENSG00000237724",3303,"Heat shock 70 kDa protein 1A","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"HSPA1B","P0DMV9","ENSG00000232804",3304,"Heat shock 70 kDa protein 1B","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"HSPA2","P54652","ENSG00000126803",3306,"Heat shock-related 70 kDa protein 2","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"HSPA4","P34932","ENSG00000170606",3308,"Heat shock 70 kDa protein 4","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"HSPA5","P11021","ENSG00000044574",3309,"Endoplasmic reticulum chaperone BiP","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"HSPA6","P17066","ENSG00000173110",3310,"Heat shock 70 kDa protein 6","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
NA,NA,NA,NA,NA,"MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"HSPA9","P38646","ENSG00000113013",3313,"Stress-70 protein, mitochondrial","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"TRAP1","Q12931","ENSG00000126602",10131,"Heat shock protein 75 kDa, mitochondrial","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"HSP90AA1","P07900","ENSG00000080824",3320,"Heat shock protein HSP 90-alpha","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"HSP90AB1","P08238","ENSG00000096384",3326,"Heat shock protein HSP 90-beta","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"HSP90B1","P14625","ENSG00000166598",7184,"Endoplasmin","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"HSPBP1","Q9NZL4","ENSG00000133265",23640,"Hsp70-binding protein 1","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"DNAJA1","P31689","ENSG00000086061",3301,"DnaJ homolog subfamily A member 1","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"ATXN3","P54252","ENSG00000066427",4287,"Ataxin-3","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"NPLOC4","Q8TAT6","ENSG00000182446",55666,"Nuclear protein localization protein 4 homolog","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"RNF4","P78317","ENSG00000063978",6047,"E3 ubiquitin-protein ligase RNF4","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"RNF5","Q99942","ENSG00000223767",6048,"E3 ubiquitin-protein ligase RNF5","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"SAE1","Q9UBE0","ENSG00000142230",10055,"SUMO-activating enzyme subunit 1","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"SEC61A1","P61619","ENSG00000058262",29927,"Protein transport protein Sec61 subunit alpha isoform 1","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"SEC61A2","Q9H9S3","ENSG00000065665",55176,"Protein transport protein Sec61 subunit alpha isoform 2","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"SEC61B","P60468","ENSG00000106803",10952,"Protein transport protein Sec61 subunit beta","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"SEC61G","P60059","ENSG00000132432",23480,"Protein transport protein Sec61 subunit gamma","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"SUMO2","P61956","ENSG00000188612",6613,"Small ubiquitin-related modifier 2","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"SUMO3","P55854","ENSG00000184900",6612,"Small ubiquitin-related modifier 3","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"STIP1","P31948","ENSG00000168439",10963,"Stress-induced-phosphoprotein 1","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"UBA1","P22314","ENSG00000130985",7317,"Ubiquitin-like modifier-activating enzyme 1","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"UBE2D1","P51668","ENSG00000072401",7321,"Ubiquitin-conjugating enzyme E2 D1","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"UBE2J1","Q9Y385","ENSG00000198833",51465,"Ubiquitin-conjugating enzyme E2 J1","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"UCHL1","P09936","ENSG00000154277",7345,"Ubiquitin carboxyl-terminal hydrolase isozyme L1","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"UFD1","Q92890","ENSG00000070010",7353,"Ubiquitin recognition factor in ER-associated degradation protein 1","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"USP19","O94966","ENSG00000172046",10869,"Ubiquitin carboxyl-terminal hydrolase 19","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"UBB","P0CG47","ENSG00000170315",7314,"Polyubiquitin-B","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"UBC","P0CG48","ENSG00000150991",7316,"Polyubiquitin-C","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"VCP","P55072","ENSG00000165280",7415,"Transitional endoplasmic reticulum ATPase","MetaMiner: Regulation of degradation of DF508-CFTR in CF (“Degradation”)"
"CFTR","P13569","ENSG00000001626",1080,"Cystic fibrosis transmembrane conductance regulator","MetaMiner: DF508-CFTR  traffic/ER-to-Golgi in CF (“ER2Golgi”)"
"SEC13","P55735","ENSG00000157020",6396,"Protein SEC13 homolog","MetaMiner: DF508-CFTR  traffic/ER-to-Golgi in CF (“ER2Golgi”)"
"SEC24A","O95486","ENSG00000113615",10802,"Protein transport protein Sec24A","MetaMiner: DF508-CFTR  traffic/ER-to-Golgi in CF (“ER2Golgi”)"
"SEC24B","O95487","ENSG00000138802",10427,"Protein transport protein Sec24B","MetaMiner: DF508-CFTR  traffic/ER-to-Golgi in CF (“ER2Golgi”)"
"SEC24C","P53992","ENSG00000176986",9632,"Protein transport protein Sec24C","MetaMiner: DF508-CFTR  traffic/ER-to-Golgi in CF (“ER2Golgi”)"
"SEC24D","O94855","ENSG00000150961",9871,"Protein transport protein Sec24D","MetaMiner: DF508-CFTR  traffic/ER-to-Golgi in CF (“ER2Golgi”)"
"SEC31A","O94979","ENSG00000138674",22872,"Protein transport protein Sec31A","MetaMiner: DF508-CFTR  traffic/ER-to-Golgi in CF (“ER2Golgi”)"
"SEC31B","Q9NQW1","ENSG00000075826",25956,"Protein transport protein Sec31B","MetaMiner: DF508-CFTR  traffic/ER-to-Golgi in CF (“ER2Golgi”)"
"SEC23A","Q15436","ENSG00000100934",10484,"Protein transport protein Sec23A","MetaMiner: DF508-CFTR  traffic/ER-to-Golgi in CF (“ER2Golgi”)"
"SEC23B","Q15437","ENSG00000101310",10483,"Protein transport protein Sec23B","MetaMiner: DF508-CFTR  traffic/ER-to-Golgi in CF (“ER2Golgi”)"
"SAR1A","Q9NR31","ENSG00000079332",56681,"GTP-binding protein SAR1a","MetaMiner: DF508-CFTR  traffic/ER-to-Golgi in CF (“ER2Golgi”)"
"SAR1B","Q9Y6B6","ENSG00000152700",51128,"GTP-binding protein SAR1b","MetaMiner: DF508-CFTR  traffic/ER-to-Golgi in CF (“ER2Golgi”)"
"ARCN1","P48444","ENSG00000095139",372,"Coatomer subunit delta","MetaMiner: DF508-CFTR  traffic/ER-to-Golgi in CF (“ER2Golgi”)"
"COPA","P53621","ENSG00000122218",1314,"Coatomer subunit alpha","MetaMiner: DF508-CFTR  traffic/ER-to-Golgi in CF (“ER2Golgi”)"
"COPB1","P53618","ENSG00000129083",1315,"Coatomer subunit beta","MetaMiner: DF508-CFTR  traffic/ER-to-Golgi in CF (“ER2Golgi”)"
"COPB2","P35606","ENSG00000184432",9276,"Coatomer subunit beta'","MetaMiner: DF508-CFTR  traffic/ER-to-Golgi in CF (“ER2Golgi”)"
"COPE","O14579","ENSG00000105669",11316,"Coatomer subunit epsilon","MetaMiner: DF508-CFTR  traffic/ER-to-Golgi in CF (“ER2Golgi”)"
"COPG1","Q9Y678","ENSG00000181789",22820,"Coatomer subunit gamma-1","MetaMiner: DF508-CFTR  traffic/ER-to-Golgi in CF (“ER2Golgi”)"
"COPG2","Q9UBF2","ENSG00000158623",26958,"Coatomer subunit gamma-2","MetaMiner: DF508-CFTR  traffic/ER-to-Golgi in CF (“ER2Golgi”)"
"COPZ1","P61923","ENSG00000111481",22818,"Coatomer subunit zeta-1","MetaMiner: DF508-CFTR  traffic/ER-to-Golgi in CF (“ER2Golgi”)"
"COPZ2","Q9P299","ENSG00000005243",51226,"Coatomer subunit zeta-2","MetaMiner: DF508-CFTR  traffic/ER-to-Golgi in CF (“ER2Golgi”)"
"SLC9A3R1","O14745","ENSG00000109062",9368,"Na(+)/H(+) exchange regulatory cofactor NHE-RF1","MetaMiner: DF508-CFTR  traffic/ER-to-Golgi in CF (“ER2Golgi”)"
"MARCHF2","Q9P0N8","ENSG00000099785",51257,"E3 ubiquitin-protein ligase MARCHF2","MetaMiner: DF508-CFTR  traffic/ER-to-Golgi in CF (“ER2Golgi”)"
"MAST2","Q6P0Q8","ENSG00000086015",23139,"Microtubule-associated serine/threonine-protein kinase 2","MetaMiner: DF508-CFTR  traffic/ER-to-Golgi in CF (“ER2Golgi”)"
"GOPC","Q9HD26","ENSG00000047932",57120,"Golgi-associated PDZ and coiled-coil motif-containing protein","MetaMiner: DF508-CFTR  traffic/ER-to-Golgi in CF (“ER2Golgi”)"
